Winner,Alice,Medusa,Sinbad,King Arthur,Bruce Lee,Bigfoot,Robin Hood,InGen,Raptors,Dracula,Sherlock Holmes,Jekyll & Hyde,Invisible Man,Buffy,Angel,Spike,Willow,Beowulf,Little Red Riding Hood,Deadpool,Achilles,Bloody Mary,Sun Wukong,Yennenga,Luke Cage,Ghost Rider,Moon Knight,Daredevil,Bullseye,Elektra,Dr. Sattler,T. Rex,Houdini,The Genie,Ms. Marvel,Squirrel Girl,Cloak & Dagger,Black Widow,Black Panther,Winter Soldier,She-Hulk,Doctor Strange,Spider-Man,Nikola Tesla,Annie Christmas,Dr. Jill Trent,Golden Bat,Oda Nobunaga,Tomoe Gozen,Shakespeare,The Wayward Sisters,Hamlet,Titania,Ancient Leshen,Ciri,Eredin,Geralt of Rivia,Philippa,Yennefer,Triss,Chupacabra,Pandora,Blackbeard,Loki,Muhammad Ali,Leonardo,Michelangelo,Donatello,Raphael,Shredder,Krang
Alice,,30,56,61,57,36,54,27,37,33,34,48,41,63,100,75,100,52,55,89,29,65,9,38,47,38,45,57,63, -   ,48,55,25,56,71,67,65,59,52,57,56, -   ,25,42,37,50,48,50,50,41,67,60,50,50,17, -   ,63,71, -   ,,56,36,55,22, -   , -   ,86,44,44,40,33
Medusa,70,,71,85,67,66,59,84,78,58,51,100,89,100,,,,82,72,,84,83,71,41,63,52,87,50,55,44,100,45,76,72,100,,80,58,78,46,51,49,,49,69,51,33, -   ,74,67,50,67,79,53,69,61,75,74,39,40,67,83,36,69, -   ,,,, -   ,, -   
Sinbad,44,29,,53,46,23,56,21,69,28,42,58,92,71,75,75,100,78,81,100,36,71,16,92,29,50,39,65,78,24,49,41,35,68,63,33,42,66,59,42,46,15,100,56,49,48,56,100,54,31,71,66,42,40,45,33,83,57,88,67,38,33,54,48,, -   ,,, -   , -   ,
King Arthur,39,15,47,,18,13,39,27,25,29,9,62,71,28,56,50,56,44,40,28,42,31,17,35,31,83,17,14,43,33, -   ,25,50,29,82,17,25,60,100, -   , -   ,,40, -   , -   , -   ,17,80, -   ,50,100,100, -   , -   ,100, -   ,36,,,,29,47,18,58, -   ,,,,,,
Bruce Lee,43,33,54,82,,22,49,24,57,36,20,40,72,57,100,67,100,54,43,80,34,79,61,58,26,58,37,59,60,22,33,59,45,57,67,61,55,67,39,75,33,75,48,68,33,42,33,100,56,50,53,75, -   ,67,53,59,50,56,60, -   ,38,33,45,46,56, -   , -   , -   ,,,
Bigfoot,64,34,77,87,78,,71,37,72,49,25,82,65,63,45,50,75,67,46,80,54,56,18,38,74,57,52,92,86,7,100,61,65,87,86,67, -   ,88,58,82,54,49,57,68,45,39,46,100,68,62,70,67,78,42,48,42,63,100,38,33,57,83,23,14,100, -   ,,100,100,,
Robin Hood,46,41,44,61,51,29,,44,65,49,19,86,63,45,89,71,67,48,40,67,42,41,48,22,16,11,31,56,50,21,37,4,61,41,38,50,38,43,15,42,44,13,43,24,19,16,37,65,48,48,63,64,53,50,33,41,40,20,50,50,50, -   ,40,33,,50,,100,,,
InGen,73,16,79,73,76,63,56,,58,58,20,78,78,57,100,75,50,74,55,100,88,72,21,7,27,73,53,69,17,25,56,40,15,44,67,50,,61,62,26,43,33,100,8,75,31,19,,47,50,20,,52,29, -   ,60,52,71, -   ,,57, -   , -   , -   ,,,,,100,,
Raptors,63,22,31,75,43,28,35,42,,52,61,73,89,38,75,75,50,85,74,33,38,80,29,44,40,55,63,80,55,5,63,24,33,37,65,100,50,49,81,85,70, -   ,80,67,72,61,59,21,63,64,69,73,68,64,62, -   ,71,82,60,60,25,27,60,33,,100,,,,,
Dracula,67,42,72,71,64,51,51,42,48,,31,73,62,82,67,100,100,34,62,100,51,74,28,19,59,63,33,68,59,36,90,21,47,41,69,100,56,58,35,65,20,36,70,13,60,30,28,89,35,88,33,100,62,38,31,38,34,56,56, -   ,83,40, -   ,50,100,,,100,,100,
Sherlock Holmes,67,49,58,91,80,75,81,80,39,69,,82,100,80,75,100,,78,71,50,73,100,55,44,82,89,81,100,63,65,59,45,38,55,33,,50,68,82,83,64,62,,80,72,20,38,100,65,50,33,100,39,33,100,100,100,100,50,,100,100,50,,,,,,,,
Jekyll & Hyde,52, -   ,42,38,60,18,14,22,27,27,18,,47,52,73,57,54,50,33,33, -   ,39, -   ,38,37,50,29,60,67, -   ,50, -   ,33,33,42,81,35,33, -   ,80,50,,26,50,40, -   ,14,37,44, -   ,33,75,33,,100,,50,50,,,20,100,,,, -   ,,,,,100
Invisible Man,59,11,8,29,28,35,37,22,12,38, -   ,53,,50,50,100,85,35,9,31,47,44, -   , -   ,58,86,50, -   ,12, -   ,47,33, -   ,33,8,40,76, -   ,50,,67, -   ,71, -   ,65,, -   ,53,,100, -   ,50, -   ,100,100,,29, -   ,50,100,60,100, -   , -   ,, -   ,,,,,
Buffy,37, -   ,29,72,43,37,55,43,62,18,20,48,50,,75,50,80,22,25,40,21,25,50,36,11,40,50,43,54,20,30,20,100,100,45,62,57,,20,50,, -   ,53, -   ,33, -   , -   ,63, -   ,100, -   ,50,50,100,, -   ,50, -   ,,,,,, -   , -   ,,,,,,
Angel, -   ,,25,44, -   ,55,12, -   ,25,33,25,27,50,25,,57,50, -   ,100,36, -   ,17,, -   ,46,33,100,100,12,, -   ,, -   ,33,,43,33,,,,,, -   ,67,, -   , -   ,33, -   ,50,100,100,100, -   , -   ,,,63, -   ,,,100,, -   ,,,, -   ,,,
Spike,25,,25,50,33,50,29,25,25, -   , -   ,43, -   ,50,43,,33,33, -   ,50, -   ,50, -   , -   ,20, -   ,50, -   ,100,33, -   ,, -   ,33,67,50,100,,100,100,,,40,100, -   ,,50, -   ,50,,, -   ,100,,,,,,, -   ,,50,, -   ,,,,,,,
Willow, -   ,, -   ,44, -   ,25,33,50,50, -   ,,46,15,20,50,67,, -   , -   ,50,33, -   , -   , -   , -   , -   , -   ,50, -   ,, -   , -   , -   ,, -   ,29,,,,,,,14, -   ,100,,, -   , -   , -   ,,, -   ,,,,, -   , -   ,,,, -   , -   ,,,,,,,
Beowulf,48,18,22,56,46,33,52,26,15,66,22,50,65,78,100,67,100,,39, -   ,37,51,20,15,43,75,34,28,68, -   ,52,29,43,69,29,100,61,62,15,29,33, -   ,80, -   ,41,20, -   ,80,47,53,100,89, -   ,50,,50,39,, -   ,,100,,,100,,,,, -   ,,50
Little Red Riding Hood,45,28,19,60,57,54,60,45,26,38,29,68,91,75, -   ,100,100,61,,,39,38,42,55,57,62,37,55,85,61,20,35,30,60,78,40,70,75,30,74,26,17,93,57,33,68,43,62,58,51,74,64,61,61,62,38,36,71,41,43,42,44,18,18,50,, -   ,100, -   ,,
